RecordNo,starttime,endtime,social_au_1,social_au_2,social_au_3,social_au_4,social_au_5,social_au_6,social_au_7,social_au_8,social_au_9,social_au_10,social_au_11,social_au_12,social_au_13,social_au_14,social_au_15,social_au_99,educ,gender,age,localincome_annual_au,hhi,household_size,geo_state_au,agegroup1,agegroup2,age_rc,agexgender,state,metro_regional,hh_size,numberofchildren,num_child,education_a_au,maritalstatus,employment_status_au,geo_city_au,localincome_au,geo_GCCSA_rc,vote_past,political_interest,CC1_1,CC1_2,CC1_3,CC2a_1,CC2a_2,CC2a_3,CC2b_1,CC2b_2,CC2b_3,CC3,weight0,weight1
1,9/4/2017,9/4/2017,1,1,9,9,1,9,9,9,9,9,9,9,1,9,9,9,3,1,75,2,3,2,3,6,5,7,7,3,2,2,2,1,4,6,5,22,2,6,1,1,1,1,1,9,9,9,1,1,1,2,.873149349224336,.666672594525439
2,9/5/2017,9/5/2017,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,4,1,35,10,1,4,3,3,3,3,3,3,1,2,1,2,5,7,7,20,7,5,4,3,1,1,1,9,9,9,1,1,1,2,.909310196099579,1.13576633236304
3,9/4/2017,9/4/2017,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,2,1,75,2,3,1,3,6,5,7,7,3,2,1,1,2,3,6,5,23,1,6,4,2,1,1,1,9,9,9,1,1,1,2,.873149349224336,1.09811381077829
4,9/4/2017,9/4/2017,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,30,6,2,3,2,2,2,2,2,2,2,2,2,1,4,1,1,998,5,4,1,1,1,1,1,1,2,1,9,9,9,2,.955677200649878,.912074213099791
5,9/4/2017,9/4/2017,1,9,9,1,1,9,9,9,1,9,1,9,9,9,9,9,3,1,83,10,1,2,3,6,5,7,7,3,2,2,1,2,4,1,5,23,4,6,3,1,1,1,1,9,9,9,1,1,2,2,.873149349224336,.771212257457553
6,9/5/2017,9/5/2017,1,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,4,2,28,9,1,2,5,2,2,2,9,5,1,2,1,2,5,1,1,32,5,9,99,3,1,3,3,1,3,3,9,9,9,2,.85517592093874,.540136840606119
7,9/4/2017,9/4/2017,1,1,9,1,9,9,1,1,9,9,9,9,9,9,9,9,1,2,54,12,1,2,3,4,4,4,11,3,2,2,7,2,2,1,1,23,6,6,4,2,1,3,2,9,9,9,1,3,2,1,.896630012462256,2.68385204934753
8,9/5/2017,9/5/2017,1,1,1,1,1,1,9,9,9,9,9,1,9,1,9,9,2,1,18,11,1,4,8,1,1,1,1,1,1,2,1,2,3,7,4,39,1,11,99,1,1,1,3,1,1,1,9,9,9,1,1.98027794236189,2.00841200354686
9,9/4/2017,9/4/2017,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,5,1,72,2,3,2,5,6,5,6,6,5,1,2,1,2,7,2,5,32,2,9,1,1,1,1,1,9,9,9,1,2,2,1,.891506716124104,.360483640862484
10,9/5/2017,9/5/2017,1,1,1,9,9,1,9,1,1,9,9,9,9,9,9,9,3,1,34,10,1,4,2,2,2,2,2,2,1,2,1,2,4,2,6,15,998,3,12,1,1,1,1,9,9,9,1,1,1,2,1.03469943753742,.793929210983518
11,9/5/2017,9/5/2017,1,1,1,1,1,1,9,1,1,9,9,1,9,9,9,9,4,1,43,11,1,4,2,3,3,3,3,2,1,2,3,1,5,1,1,15,7,3,1,3,1,1,1,9,9,9,1,1,1,2,.896686893449487,.59788766024544
12,9/5/2017,9/5/2017,9,9,9,1,1,9,9,9,1,9,9,9,9,9,9,9,2,1,42,8,1,3,2,3,3,3,3,2,1,2,1,2,3,7,1,15,4,3,1,2,1,1,1,1,1,1,9,9,9,3,.896686893449487,1.12292033679358
13,9/5/2017,9/5/2017,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,2,30,999,999,2,5,2,2,2,9,5,1,2,1,2,3,1,1,32,999,9,1,3,1,1,3,3,3,3,9,9,9,2,.85517592093874,1.04247427878121
14,9/5/2017,9/5/2017,1,1,1,9,1,1,1,9,1,1,9,1,9,9,9,9,4,1,31,3,3,1,2,2,2,2,2,2,1,1,1,2,5,5,8,15,3,3,12,2,1,1,1,1,1,1,9,9,9,1,1.03469943753742,.579593694572454
15,9/5/2017,9/5/2017,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,5,1,80,2,3,1,5,6,5,7,7,5,1,1,1,2,7,5,5,32,1,9,2,1,1,1,1,1,2,3,9,9,9,1,.890366895049806,.584709734724673
16,9/5/2017,9/5/2017,1,1,9,9,1,9,9,1,9,9,9,9,9,9,9,9,5,2,58,998,998,2,1,5,5,5,12,1,1,2,1,2,6,7,2,6,998,1,1,2,1,3,3,9,9,9,1,2,2,2,.929175653516358,.539544266590166
17,9/5/2017,9/5/2017,1,9,9,9,1,9,9,9,9,9,9,9,1,9,9,9,5,1,64,4,2,1,3,5,5,5,5,3,2,1,1,2,6,7,5,24,3,6,1,2,1,1,1,1,3,3,9,9,9,2,.94203497910656,.498268733976848
18,9/4/2017,9/4/2017,1,1,9,9,1,9,9,1,1,9,9,9,9,9,9,9,3,1,56,4,2,2,5,5,5,5,5,5,1,2,2,1,4,1,2,32,3,9,12,1,1,1,1,2,1,1,9,9,9,1,.960610873867715,.590887538012949
19,9/5/2017,9/5/2017,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,37,11,1,1,2,3,3,3,3,2,1,1,1,2,5,5,1,15,5,3,2,2,1,1,1,3,3,3,9,9,9,1,.896686893449487,.908480212873422
20,9/4/2017,9/4/2017,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,41,998,998,4,2,3,3,3,10,2,1,2,3,1,4,1,3,15,999,3,99,4,3,3,3,9,9,9,3,3,3,3,1.00984667203428,1.01544394766054
21,9/5/2017,9/5/2017,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,60,2,3,2,5,5,5,5,5,5,2,2,7,2,5,1,2,998,1,10,6,1,1,1,1,1,1,1,9,9,9,3,1.04391972831686,1.24679562165
22,9/5/2017,9/5/2017,1,1,9,9,1,9,9,1,1,9,9,9,1,9,9,9,5,1,54,4,2,2,2,4,4,4,4,2,2,2,2,1,7,2,2,998,998,4,99,2,1,1,1,1,3,3,9,9,9,2,.884470062373458,.387300522863443
23,9/4/2017,9/4/2017,1,1,1,9,9,1,1,9,9,9,9,9,9,9,9,9,3,1,53,8,1,2,2,4,4,4,4,2,2,2,1,2,4,2,1,998,5,4,3,1,1,1,1,1,1,1,9,9,9,2,.884470062373458,.753171499408763
