RecordNo,starttime,endtime,social_nets_mem__1,social_nets_mem__2,social_nets_mem__3,social_nets_mem__4,social_nets_mem__5,social_nets_mem__6,social_nets_mem__7,social_nets_mem__8,social_nets_mem__9,social_nets_mem__10,social_nets_mem__12,social_nets_mem__97,social_nets_mem__98,social_nets_mem__99,educ,region,age,inputstate,child18,gender,race,marstat,faminc,CC1__cc1_1___CC1_grid,CC1__cc1_2___CC1_grid,CC1__cc1_3___CC1_grid,CC2a__cc2a_1___CC2a_grid,CC2a__cc2a_2___CC2a_grid,CC2a__cc2a_3___CC2a_grid,CC2b__cc2b_1___CC2b_grid,CC2b__cc2b_2___CC2b_grid,CC2b__cc2b_3___CC2b_grid,CC3__cc3_1___CC3_grid,CC3__cc3_2___CC3_grid,CC3__cc3_3___CC3_grid,pid3,age_cross,faminc_new_r,race_xbreak,educ_w8,weight_political
2,2017-09-05 13:42:48,2017-09-05 13:45:55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,58,51,2,2,1,3,97,1,1,1, , , ,1,1,1,1,1,1,5,3,4,1,1,1.77661842774929
3,2017-09-05 13:43:04,2017-09-05 13:46:49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,30,16,1,2,1,1,4,3,3,3, , , ,3,3,3,5,5,5,1,1,1,1,1,1.53135318415106
4,2017-09-05 13:44:20,2017-09-05 13:46:55,1,0,0,1,0,1,0,1,0,1,0,0,0,0,3,4,29,8,1,1,1,1,7,1,1,1, , , ,1,2,1,2,1,2,1,1,2,1,2,1.04565591907712
5,2017-09-05 13:44:06,2017-09-05 13:47:11,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,32,6,2,2,1,1,11,3,3,3,3,3,3, , , ,5,5,5,1,1,3,1,2,.436472159173316
6,2017-09-05 13:42:25,2017-09-05 13:47:14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,57,48,2,2,1,5,5,1,1,1,3,3,3, , , ,2,1,1,2,3,2,1,4,2.51991348755473
7,2017-09-05 13:42:23,2017-09-05 13:47:58,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,52,23,2,1,1,5,2,1,1,1, , , ,3,3,3,3,3,2,3,2,1,1,1,.752497864092182
8,2017-09-05 13:43:17,2017-09-05 13:48:02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,27,53,2,1,1,5,8,1,1,1,1,1,1, , , ,3,3,1,3,1,2,1,3,2.27555751643325
9,2017-09-05 13:44:55,2017-09-05 13:48:13,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,3,19,12,1,2,1,1,3,2,2,2,2,2,2, , , ,3,3,3,3,1,1,1,1,1.40270383721583
10,2017-09-05 13:42:41,2017-09-05 13:48:51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4,59,35,2,1,1,1,8,1,1,1, , , ,1,1,1,5,5,1,3,3,2,1,4,.690292280396918
11,2017-09-05 13:46:34,2017-09-05 13:48:52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,32,18,2,1,1,5,5,1,1,1, , , ,1,1,1,1,1,1,3,1,2,1,1,.659425725898646
12,2017-09-05 13:43:15,2017-09-05 13:49:02,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,35,31,1,2,1,1,7,1,2,2, , , ,3,3,3,5,5,5,1,2,2,1,1,.620791399500831
13,2017-09-05 13:44:10,2017-09-05 13:49:15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,53,36,2,1,1,1,97,1,1,1,3,2,2, , , ,3,2,1,3,2,4,1,4,.901090499628109
14,2017-09-05 13:44:56,2017-09-05 13:49:25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,3,56,51,2,1,1,1,4,3,3,3, , , ,3,3,3,5,5,5,3,3,1,1,1,2.10303789702311
15,2017-09-05 13:42:48,2017-09-05 13:49:39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,38,36,1,2,1,1,8,3,3,3, , , ,3,3,3,3,2,2,2,2,2,1,2,.481020529365321
16,2017-09-05 13:43:07,2017-09-05 13:49:45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,69,12,2,1,1,1,9,1,1,1, , , ,2,2,2,2,3,1,2,3,3,1,2,1.0207162645471
17,2017-09-05 13:47:38,2017-09-05 13:49:49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,23,47,2,2,1,1,3,2,3,2,2,2,2, , , ,5,5,5,5,1,1,1,1,1.40270383721583
18,2017-09-05 13:45:14,2017-09-05 13:50:13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,86,49,2,1,1,1,4,3,1,1, , , ,3,1,1,3,1,1,2,3,1,1,4,1.17546518807041
19,2017-09-05 13:44:45,2017-09-05 13:50:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,33,40,2,2,1,1,3,2,3,2,1,2,3, , , ,4,4,3,1,1,1,1,3,1.23991227110275
