ID,split_text,starttime,endtime,gender,age,geo_state_au,metro_regional,localincome_annual_au,employment_status_au,education_a_au,numberofchildren,agegroup1,agegroup2,au_pol_pastvote_2016,political_interest,maritalstatus,household_size,localincome_au,geo_GQSA_au_interlude,social_au_1,social_au_2,social_au_3,social_au_4,social_au_5,social_au_6,social_au_7,social_au_8,social_au_9,social_au_10,social_au_11,social_au_12,social_au_13,social_au_14,social_au_15,social_au_99,educ,Q1,Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,weight0,weight1
13,since the end of the Obama Administration?,12/8/2017,12/8/2017,2,44,1,1,13,1,7,1,3,3,98,3,1,2,8,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,5,1,2,2,3,1,4,3,1,3,3,3,3,1,3,3,3,4,3,1,3,3,3,3,3,3,3,3,4,3,.948576366544584,.284078370563646
17,in the last year?,12/7/2017,12/7/2017,1,69,1,1,13,5,2,7,6,5,2,1,1,7,998,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,2,2,3,2,1,3,2,2,2,1,2,2,2,4,2,1,3,2,3,3,2,3,3,3,4,3,.911245458937152,2.40263112492431
35,in the last year?,12/8/2017,12/8/2017,2,41,1,1,11,1,7,1,3,3,12,3,7,1,7,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,2,2,2,3,4,3,1,3,2,2,3,2,2,2,3,3,3,1,3,3,3,3,3,2,3,3,3,3,.948576366544584,.467424844041862
38,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,45,1,1,12,1,7,4,4,4,2,1,1,5,7,1,1,9,9,9,1,9,9,1,1,9,9,9,9,9,9,9,5,1,2,2,4,4,4,2,1,2,2,2,1,1,2,3,3,4,4,1,3,2,3,1,1,2,3,3,3,3,.912285182231793,.869755746834744
45,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,72,1,1,998,5,4,7,6,5,2,2,1,2,998,1,1,9,9,1,9,9,9,9,1,9,9,9,9,9,9,9,3,1,2,2,2,3,5,4,1,4,2,2,4,1,3,4,4,4,4,1,4,2,2,4,1,3,4,4,4,4,.911245458937152,1.40453795401309
55,in the last year?,12/7/2017,12/7/2017,2,72,1,1,998,5,4,1,6,5,3,1,7,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,3,3,4,4,1,4,3,4,1,2,2,3,4,3,4,1,4,4,4,2,3,3,3,3,3,3,.947863861966739,.713192694178212
60,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,63,1,2,9,1,4,1,5,5,3,3,1,2,3,1,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,5,3,1,3,3,3,1,1,2,4,4,3,4,1,3,3,3,2,2,3,4,4,3,4,.830083675967558,.860646319566315
68,in the last year?,12/7/2017,12/7/2017,2,64,1,1,9,1,5,7,5,5,1,2,1,2,2,1,1,1,9,9,1,9,9,1,1,9,1,9,1,9,9,9,4,1,2,2,2,1,6,4,1,2,2,2,2,2,5,2,2,3,3,1,3,3,3,2,2,3,3,4,5,5,.933800465601328,.762665927282039
77,in the last year?,12/7/2017,12/7/2017,1,42,1,1,6,1,5,3,3,3,2,2,1,4,998,1,1,1,1,9,1,9,9,1,1,9,9,9,9,9,9,9,4,1,3,2,2,3,4,2,1,2,3,2,1,1,1,3,4,2,3,1,2,4,2,1,2,1,4,4,2,3,.976784239441839,1.47184619759397
79,in the last year?,12/7/2017,12/7/2017,1,35,1,2,10,1,5,2,3,3,7,1,2,3,4,1,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,4,1,2,2,2,3,4,2,1,3,1,2,2,1,2,2,3,4,3,1,2,2,2,2,2,2,2,2,3,3,.901351672704224,.23924727702157
89,since the end of the Obama Administration?,12/7/2017,12/8/2017,2,62,1,1,998,5,4,7,5,5,2,2,2,2,998,1,1,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,3,1,2,2,2,2,5,2,1,3,3,4,4,1,3,4,3,4,4,1,4,4,4,4,2,3,4,4,4,4,.933800465601328,1.29670046054255
106,in the last year?,12/8/2017,12/8/2017,1,61,1,1,9,5,3,7,5,5,2,1,1,2,6,1,1,1,9,1,9,1,9,1,1,9,9,9,9,9,9,9,2,1,3,2,3,1,4,4,1,3,1,2,2,1,3,2,2,4,2,1,3,2,2,2,2,3,3,2,4,3,.8995519469892,1.97157827898345
109,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,39,1,1,998,1,5,7,3,3,98,4,1,2,998,1,1,1,9,9,1,1,9,1,1,9,9,9,9,9,9,9,4,1,2,2,2,2,6,4,1,3,2,2,3,1,3,3,5,5,5,1,3,3,3,3,3,3,3,3,3,3,.976784239441839,.490644038769598
110,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,68,1,1,12,5,6,7,6,5,1,3,1,2,5,1,1,1,1,9,1,9,9,1,1,1,9,9,9,9,9,9,5,1,3,2,2,1,4,3,1,3,4,4,2,2,3,3,4,2,3,1,4,4,4,3,3,3,3,3,3,4,.911245458937152,.590806759176893
116,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,73,1,1,998,1,4,7,6,5,98,3,1,2,998,1,1,9,9,9,1,9,9,1,9,9,9,9,1,9,9,9,3,1,2,2,2,3,6,3,1,2,2,3,2,1,2,3,3,3,3,1,2,3,3,2,2,2,3,3,3,3,.911245458937152,.468206647874411
118,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,66,1,1,998,1,6,7,6,5,1,1,1,5,998,1,1,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,5,1,2,2,2,3,4,2,1,3,2,2,1,1,2,3,3,2,4,1,3,3,3,2,1,2,3,2,2,4,.911245458937152,.590806759176893
120,in the last year?,12/8/2017,12/8/2017,2,35,1,1,1,1,6,1,3,3,98,3,1,2,5,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,5,1,3,3,3,4,3,2,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,.948576366544584,.284078370563646
123,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,25,1,1,998,1,5,1,2,2,3,2,7,4,3,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,4,1,2,2,2,3,6,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,.929069533111936,.901643720004673
126,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,71,1,1,5,5,6,1,6,5,1,1,2,2,7,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,2,2,1,3,4,2,1,4,2,3,2,1,2,3,3,3,4,1,4,3,3,3,1,2,3,2,2,3,.947863861966739,.491944133054268
130,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,40,1,1,10,1,7,2,3,3,99,2,1,3,998,1,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,5,1,4,4,4,4,6,6,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,.976784239441839,.350900367629082
131,in the last year?,12/7/2017,12/7/2017,1,48,1,1,7,1,5,1,4,4,2,2,7,1,998,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,4,1,2,2,1,2,4,2,1,3,2,3,3,1,2,2,2,4,2,1,3,3,3,3,2,2,3,2,3,3,.912285182231793,1.21613002361158
133,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,61,1,1,12,1,6,1,5,5,1,1,1,3,6,1,1,1,9,1,1,1,1,1,1,9,9,9,9,9,9,9,5,1,3,2,3,3,3,2,1,2,1,2,1,1,1,1,1,2,3,1,3,2,3,1,1,1,1,1,2,3,.8995519469892,.65129174752259
153,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,67,1,1,5,5,3,7,6,5,1,1,1,2,4,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,2,2,3,5,2,1,4,2,2,1,1,1,2,2,5,5,1,4,3,3,1,3,1,3,3,4,4,.911245458937152,1.32683991592425
154,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,32,1,1,998,1,5,1,2,2,98,3,7,5,999,1,1,1,9,9,9,1,9,1,9,9,9,9,9,9,9,9,4,1,4,4,4,4,6,2,1,3,4,4,4,1,5,4,4,4,4,1,2,2,2,2,2,2,2,2,2,2,.929069533111936,.492874083495616
158,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,65,1,2,10,5,4,1,6,5,1,1,1,2,5,1,1,1,1,9,1,1,1,9,1,9,9,9,9,9,9,9,3,1,2,2,2,3,3,2,1,2,3,3,2,1,2,3,2,2,3,1,3,3,3,3,2,3,3,3,3,3,.874664683336629,.79085428743696
