ID,split_text,starttime,endtime,employ,gender,age,birthyr,region,division,inputstate,race,educ,marstat,sexuality,child18,faminc_new,social_nets_mem__1,social_nets_mem__2,social_nets_mem__3,social_nets_mem__4,social_nets_mem__5,social_nets_mem__6,social_nets_mem__7,social_nets_mem__8,social_nets_mem__10,social_nets_mem__12,social_nets_mem__97,social_nets_mem__98,social_nets_mem__99,inputzipdma_recode,hholdsize,e14_presvote12,presvote16post,ideo5,votereg,faminc,pid7text,job,Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,age_cross,family_income_r,faminc_new_r,race_w8,race_xbreak,educ_w8,age_gender,w_age_gender,w_demogs,w_age_gen_1,w_age_gen_2,w_age_gen_3,w_age_gen_4,w_age_gen_5,w_age_gen_6,w_age_gen_7,w_age_gen_8,duration,weight_political
706,in the year since Donald Trump became President?,2017-12-07 14:56:32,2017-12-07 15:02:05,9,2,36,1981,4,9,6,1,6,1,1,2,97,0,0,0,0,0,0,0,0,0,0,0,0,1,862,1,4,7,6,3, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,4,4,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2, ,4,1,1,4,5,8,64, , , , , ,4, , ,5.55,1.71897271848257
107,in the year since Donald Trump became President?,2017-12-07 14:56:32,2017-12-07 15:02:19,6,1,42,1975,4,8,49,1,5,5,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,770,2,1,1,2,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,5,3,2,2,1,1,1,1,3,3,1,4,3,2,2,2,2,2,3,3,2,4,2, ,1,1,1,3,2,3,15, ,3, , , , , , ,5.78333333333333,.793798082819767
637,since the end of the Obama Administration?,2017-12-07 14:57:28,2017-12-07 15:03:03,7,2,34,1983,2,3,39,1,2,5,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,515,4,4,1,2,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,3,3,4,4,1,3,2,2,2,2,3,3,2,4,2,3,3,3,2,3,3,3,3,4,1, ,1,1,1,1,4,7,61, , , , , ,1, , ,5.58333333333333,.615741211108778
695,in the year since Donald Trump became President?,2017-12-07 14:57:07,2017-12-07 15:03:09,1,1,68,1949,3,7,48,1,5,1,1,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,623,2,2,2,4,1, ,Would you call yourself a strong Republican or a not very strong Republican?, ,2,2,2,2,4,2,4,2,2,4,1,2,4,3,4,2,3,2,2,3,2,2,3,2,4,2,3, ,2,1,1,3,3,5,39, , , ,3, , , , ,6.03333333333333,.986305304093395
414,since the end of the Obama Administration?,2017-12-07 14:56:41,2017-12-07 15:03:14,6,2,38,1979,2,3,18,5,3,3,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,527,5,4,7,6,2, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,3,5,4,4,4,4,4,2,4,4,4,4,4,4,3,3,3,2,3,3,3,3,3,2, ,1,1,4,2,5,8,62, , , , , ,2, , ,6.53333333333333,1.46303182807036
503,in the year since Donald Trump became President?,2017-12-07 14:56:17,2017-12-07 15:03:36,5,2,79,1938,3,5,12,1,5,3,1,2,97,1,0,0,0,0,0,0,0,0,0,0,0,0,548,1,1,1,2,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,2,4,2,2,2,1,2,3,2,1,3,3,2,2,2,2,2,3,3,2,4,3, ,4,1,1,3,6,10,87, , , , , , , ,3,7.31666666666667,1.01122006081309
426,in the last year?,2017-12-07 14:56:18,2017-12-07 15:03:53,1,1,47,1970,1,1,25,1,2,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,506,4,2,2,4,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,2,2,4,4,4,3,3,4,2,2,2,3,3,4,3,3,3,3,3,2,2,3,3,4,3,2, ,3,1,1,1,2,4,25, , ,1, , , , , ,7.58333333333333,.861283331048086
494,since the end of the Obama Administration?,2017-12-07 14:57:39,2017-12-07 15:04:16,1,2,43,1974,1,2,36,1,4,5,1,1,5,1,1,0,0,0,1,0,1,1,0,0,0,0,555,2,4,7,6,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,4,4,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2, ,2,1,1,2,5,8,62, , , , , ,2, , ,6.61666666666667,.883049329564736
747,in the last year?,2017-12-07 15:01:38,2017-12-07 15:04:31,1,1,32,1985,2,3,17,1,5,1,1,1,13,1,1,0,1,0,0,0,0,0,0,0,0,0,671,3,4,2,4,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,3,2,2,2,4,3,3,4,3,3,4,3,3,3,4,2,3,3,4,3,3,4,4,4,4,3,1, ,3,1,1,3,1,2,15, ,3, , , , , , ,2.86666666666667,.630852861196938
807,since the end of the Obama Administration?,2017-12-07 14:57:16,2017-12-07 15:04:38,1,2,30,1987,2,3,26,1,2,5,1,2,3,1,1,0,1,1,1,1,1,1,0,0,0,0,505,2,4,7,3,2, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,4,2,4,5,3,2,3,2,3,1,2,2,2,2,3,2,3,3,3,2,3,3,3,3,1, ,1,1,1,1,4,7,61, , , , , ,1, , ,7.36666666666667,1.55399176230849
27,since the end of the Obama Administration?,2017-12-07 14:57:39,2017-12-07 15:05:13,1,1,45,1972,2,4,27,1,3,5,3,2,13,1,1,1,0,0,0,1,0,1,0,0,0,0,613,2,1,1,1,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,2,4,1,2,1,1,1,3,2,2,4,3,2,2,1,1,1,1,1,2,4,2, ,3,1,1,2,2,4,26, , ,2, , , , , ,7.55,.726546633358594
45,since the end of the Obama Administration?,2017-12-07 14:56:34,2017-12-07 15:05:09,3,1,50,1967,4,9,6,1,5,1,1,2,9,1,1,1,1,1,1,1,1,0,0,0,0,0,803,2,1,1,3,1, ,Would you call yourself a strong Democrat or a not very strong Democrat?, ,2,2,2,3,4,4,2,1,3,1,1,1,2,2,2,4,3,2,3,2,3,1,3,3,2,3,2, ,3,1,1,3,2,4,27, , ,3, , , , , ,8.56666666666667,.853647759048423
838,in the year since Donald Trump became President?,2017-12-07 14:58:44,2017-12-07 15:05:25,5,2,74,1943,3,7,48,1,3,1,1,2,97,1,0,0,0,0,0,0,0,0,0,0,0,0,623,2,2,2,5,1, ,Do you think of yourself as closer to the Democratic or the Republican Party?, ,2,1,1,1,4,2,3,3,4,4,1,5,3,3,4,2,4,3,4,4,2,4,4,4,4,2,3, ,4,1,1,2,6,10,86, , , , , , , ,2,6.66666666666667,.960545797319332
