ID,starttime,endtime,gender,birthyear,geo_state_au,metro_regional,localincome_annual_au,employment_status_au,education_a_au,numberofchildren,agegroup1,agegroup2,au_pol_pastvote_2016,maritalstatus,household_size,localincome_au,geo_GCCSA_au_interlude,social_au_1,social_au_2,social_au_3,social_au_4,social_au_5,social_au_6,social_au_7,social_au_8,social_au_9,social_au_10,social_au_11,social_au_12,social_au_13,social_au_14,social_au_15,social_au_99,educ,B1,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B2,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B3,weight1
1,3/1/2018,3/1/2018,1,1949,3,2,4,5,3,1,6,5,1,5,1,1,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,5,5,5,4,5,4,1,5,5,5,5,5,5,5,1.38269372999304
2,3/1/2018,3/1/2018,1,1947,1,1,998,5,5,1,6,5,3,7,2,998,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,4,1,2,2,2,5,2,5,1,3,2,4,3,3,2,2,.81872947418882
3,3/1/2018,3/1/2018,1,1975,2,2,5,2,3,3,3,3,1,7,3,4,3,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,2,1,2,1,1,1,1,2,1,3,3,5,5,3,4,5,1.59498858301992
4,3/1/2018,3/1/2018,1,1964,2,1,13,1,3,1,4,4,3,7,3,8,3,1,1,1,9,9,9,9,1,1,1,9,9,9,9,1,9,2,1,3,3,2,1,4,2,1,5,4,4,4,5,3,4,.911880400104782
5,3/1/2018,3/1/2018,1,1957,5,2,2,2,5,7,5,5,6,1,2,1,10,1,1,9,9,9,9,9,9,1,9,9,1,9,9,9,9,4,1,2,1,1,1,1,1,1,5,5,5,5,5,5,3,.940167450737637
6,3/1/2018,3/1/2018,1,1955,5,1,12,1,5,7,5,5,2,1,2,7,9,9,1,1,9,9,9,9,1,9,9,9,9,9,9,9,9,4,1,1,1,1,2,1,2,1,1,3,4,1,1,3,3,1.1078199188415
7,3/1/2018,3/1/2018,2,1963,5,1,998,2,2,7,5,5,99,1,2,1,10,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,5,5,5,5,5,1,3,5,3,3,3,3,5,.546440155722868
8,3/1/2018,3/1/2018,1,1945,2,1,1,5,2,3,6,5,1,6,4,8,3,1,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,1,1,3,3,5,1,3,1,3,5,5,3,5,3,5,1.65173744666285
9,3/1/2018,3/1/2018,1,1948,1,1,2,1,5,3,6,5,12,1,2,1,1,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,4,1,2,3,1,1,2,2,1,4,2,3,4,4,3,1,1.12814252258287
10,2/28/2018,2/28/2018,1,1974,2,1,13,1,2,3,3,3,2,1,4,8,3,1,1,9,9,1,1,1,1,1,9,9,9,9,1,9,9,1,1,1,1,1,1,1,1,1,4,4,4,3,4,4,2,2.57471392564528
