ID,employ,gender_us,age_us,birthyr,region_us,division,inputstate,race,educ,marstat,sexuality,child18,faminc_new,social_nets_mem__1,social_nets_mem__2,social_nets_mem__3,social_nets_mem__4,social_nets_mem__5,social_nets_mem__6,social_nets_mem__7,social_nets_mem__8,social_nets_mem__9,social_nets_mem__10,social_nets_mem__11,social_nets_mem__12,social_nets_mem__13,social_nets_mem__97,social_nets_mem__98,social_nets_mem__99,social_nets_mem_other,inputzipdma_recode,hholdsize,e14_presvote12,presvote16post,ideo5,votereg,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B3,age_cross,faminc_new_r,race_w8,race_xbreak,educ_w8,age_gender,w_age_gender,w_demogs,country,age_int_all,age_grp_all,gender,age,region,duration,weight_pol
1,1,2,68,1949,1,1,33,1,5,3,1,2,4,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0, ,506,1,1,1,2,1,2,2,3,1,2,2,4,4,5,3,4,4,5,3,1,1,1,3,6,10,87,230,68,5,2,68,1,13.9166666667,1.086597568
2,1,1,62,1956,3,5,12,1,5,1,1,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,548,2,1,1,3,1,3,1,2,1,3,1,4,5,4,5,5,2,5,3,3,1,1,3,3,5,27,230,62,5,1,62,3,10.3333333333,.838864281
3,1,2,64,1953,4,8,4,1,3,3,1,2,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0, ,789,1,4,2,4,1,4,3,4,1,2,1,3,3,3,3,3,4,5,3,2,1,1,2,6,10,74,230,64,5,2,64,4,13.8833333333,.39989965
4,2,1,67,1950,4,9,41,1,6,1,1,2,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,820,2,2,2,5,1,3,1,2,1,1,3,3,4,4,4,3,5,5,3,3,1,1,4,3,5,40,230,67,5,1,67,4,14.2166666667,.891241415
5,1,1,59,1958,4,9,53,1,4,1,1,2,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,819,3,1,1,2,1,2,2,1,1,2,2,4,3,3,4,4,3,5,3,3,1,1,2,3,5,26,230,59,5,1,59,4,16.55,.759316097
6,5,1,74,1943,1,1,25,1,6,1,1,2,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0, ,543,2,2,6,4,1,2,1,1,1,2,1,5,5,4,5,5,5,5,3,3,1,1,4,3,5,40,230,74,5,1,74,1,90.0166666667,.697147988
7,1,1,61,1956,2,3,17,1,5,1,1,2,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,602,2,1,1,2,1,1,2,1,1,1,1,5,4,4,5,4,4,5,3,3,1,1,3,3,5,27,230,61,5,1,61,2,28.9333333333,.838864281
8,5,1,71,1947,2,3,17,1,5,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,609,1,2,3,4,1,3,1,2,1,1,2,5,5,4,5,5,5,5,3,1,1,1,3,3,5,39,230,71,5,1,71,2,11.1833333333,.697147988
9,2,2,46,1972,4,8,8,1,5,5,1,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,751,3,1,4,1,1,2,2,2,1,2,1,3,3,4,3,3,3,3,2,2,1,1,3,5,9,75,230,46,4,2,46,4,9.93333333333,.336120448
10,1,1,56,1961,2,3,26,1,5,1,1,2,9,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0, ,563,2,1,1,2,1,2,2,1,1,3,2,4,4,5,4,5,3,4,3,3,1,1,3,3,5,27,230,56,5,1,56,2,20.75,.838864281
11,1,1,59,1958,3,6,1,1,5,1,1,2,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,691,5,2,2,4,1,1,1,1,1,1,1,3,2,3,4,3,5,5,3,3,1,1,3,3,5,27,230,59,5,1,59,3,6.88333333333,.86087444
12,5,1,73,1944,3,7,48,1,3,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,635,3,2,2,5,1,2,2,1,1,2,1,5,5,5,5,5,5,5,3,2,1,1,2,3,5,38,230,73,5,1,73,3,23.8166666667,.806726389
13,1,1,72,1945,3,5,12,1,2,1,1,2,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0, ,561,3,2,2,3,1,2,2,1,3,2,3,3,4,3,3,4,4,3,3,3,1,1,1,3,5,37,230,72,5,1,72,3,13.4333333333,.779111676
14,1,1,74,1944,3,6,21,1,3,6,3,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,515,3,2,2,4,1,4,2,2,1,2,1,5,5,5,5,5,5,5,3,3,1,1,2,3,5,38,230,74,5,1,74,3,17.0333333333,.806726389
15,5,2,61,1956,1,1,25,1,5,5,4,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,669,1,1,1,1,1,2,2,2,1,4,3,5,2,5,5,4,3,5,3,2,1,1,3,6,10,75,230,61,5,2,61,1,5.51666666667,.735646673
16,2,1,70,1947,3,5,12,1,6,1,1,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,534,2,2,2,5,1,1,1,1,1,1,1,4,4,3,4,4,3,5,3,2,1,1,4,3,5,40,230,70,5,1,70,3,12.8333333333,.891241415
17,1,2,44,1974,3,7,48,1,5,5,1,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,641,2,2,2,3,1,2,2,1,1,2,2,3,4,3,3,3,4,5,2,2,1,1,3,5,8,63,230,44,3,2,44,3,21.45,.668561828
18,5,2,61,1956,4,8,30,1,4,1,1,2,97,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,755,2,2,2,4,1,1,1,2,1,2,1,4,3,4,4,4,5,5,3,4,1,1,2,6,10,74,230,61,5,2,61,4,12.8833333333,.683358011
19,2,1,62,1955,3,5,13,1,2,1,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,524,2,2,2,4,1,2,3,1,2,2,1,4,4,4,3,3,3,4,3,1,1,1,1,3,5,25,230,62,5,1,62,3,14.25,.752565261
20,1,1,64,1953,3,6,21,1,3,1,1,2,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,541,2,2,3,5,1,2,3,2,1,2,1,3,4,5,3,3,5,5,3,3,1,1,2,3,5,26,230,64,5,1,64,3,25.7333333333,.609537369
21,5,1,71,1946,2,3,26,1,6,1,1,2,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0, ,505,2,2,2,5,1,2,2,2,1,2,3,5,4,3,5,4,5,5,3,2,1,1,4,3,5,40,230,71,5,1,71,2,18.6,.891241415
22,5,2,83,1934,1,2,42,1,2,4,1,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,504,3,2,2,4,1,2,1,2,1,5,1,5,5,5,5,5,5,5,3,3,1,1,1,6,10,85,230,83,5,2,83,1,17,.974812732
23,5,1,79,1938,3,6,21,1,2,1,1,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,541,2,2,2,4,1,5,5,1,5,5,5,5,5,5,5,5,5,5,3,4,1,1,1,3,5,37,230,79,5,1,79,3,26.4333333333,.779111676
24,5,1,73,1945,4,9,6,1,5,1,6,2,97,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,804,2,2,2,4,1,1,1,1,1,2,1,5,3,3,5,3,4,5,3,4,1,1,3,3,5,39,230,73,5,1,73,4,42.6833333333,.891241415
25,6,2,64,1953,3,7,48,1,5,1,1,2,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,618,2,3,1,1,1,4,1,4,1,4,1,3,2,4,4,4,2,5,3,2,1,1,3,6,10,75,230,64,5,2,64,3,20.45,.448907826
26,1,1,39,1978,3,5,51,1,6,1,1,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,544,3,1,1,2,1,1,2,1,1,1,1,5,5,5,3,4,3,5,2,3,1,1,4,2,3,16,230,39,3,1,39,3,10.1166666667,.689915508
27,5,1,68,1949,4,9,6,1,2,1,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,825,3,2,2,5,1,1,2,2,1,1,2,3,3,3,3,3,5,5,3,3,1,1,1,3,5,37,230,68,5,1,68,4,19.6,.779111676
28,1,1,60,1957,3,5,13,1,4,1,1,2,97,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,530,3,2,2,5,1,2,1,2,2,2,1,4,4,4,4,4,5,5,3,4,1,1,2,3,5,26,230,60,5,1,60,3,11.0166666667,.779239067
29,1,1,60,1957,2,3,17,1,5,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,648,2,2,2,3,1,1,1,1,1,1,1,3,5,4,3,4,5,4,3,3,1,1,3,3,5,27,230,60,5,1,60,2,14.1,.86087444
30,1,1,51,1966,4,9,53,1,2,1,1,2,12,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0, ,819,2,2,6,3,1,1,1,1,1,1,4,4,4,2,4,5,5,2,2,3,1,1,1,2,4,25,230,51,4,1,51,4,26.95,.588672551
31,5,2,65,1953,4,9,53,1,3,1,1,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,881,2,1,1,2,1,3,2,2,2,2,2,5,3,4,5,4,2,5,3,2,1,1,2,6,10,86,230,65,5,2,65,4,10.8833333333,.983557224
32,1,1,46,1971,2,3,26,1,3,1,1,1,9,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0, ,505,3,1,1,3,1,1,2,1,1,2,1,3,4,3,4,3,3,3,2,3,1,1,2,2,4,26,230,46,4,1,46,2,21.5166666667,.759316097
33,5,1,79,1938,1,2,36,1,2,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,501,2,2,2,4,1,2,2,1,1,2,5,5,4,4,5,4,4,5,3,2,1,1,1,3,5,37,230,79,5,1,79,1,21.8166666667,.779111676
34,1,1,64,1953,2,3,18,1,5,1,1,2,11,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0, ,509,2,2,2,3,1,1,2,1,1,2,2,5,4,5,4,4,5,5,3,3,1,1,3,3,5,27,230,64,5,1,64,2,20.9166666667,.86087444
35,5,1,83,1934,1,2,42,1,6,3,1,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,577,2,1,1,4,1,2,2,1,2,1,1,3,3,4,3,3,3,5,3,2,1,1,4,3,5,40,230,83,5,1,83,1,191.3,.868454857
